ARTIST,AVG RANK,# OF FESTS,,COACHELLA,JAZZFEST,SUNFEST,SHAKYKNEES,HANGOUT,BOSCALLING,BUNBURY,GOVBALL,BONNAROO,FIREFLY,FORECASTLE,PITCHFORK,LOLLA,OUTSIDELDS,BUMBERSHT,ACL,OSHEAGA,SASQUATCH
Snbrn,94,1,,,,,,,,,,,94,,,,,,,,
Goshfather & Jinco,95,1,,,,,,,,,,,95,,,,,,,,
Nick Catchdubs,96,1,,,,,,,,,,,96,,,,,,,,
Unlocking the Truth,96,1,,,,,,,,,,96,,,,,,,,,
Hunts,97,1,,,,,,,,,,,97,,,,,,,,
Shaun Frank,98,1,,,,,,,,,,,98,,,,,,,,
Matoma,99,1,,,,,,,,,,,99,,,,,,,,
Prinze George,100,1,,,,,,,,,,,100,,,,,,,,
Whyel,101,1,,,,,,,,,,,101,,,,,,,,
Broncho,102,1,,,,,,,,,,,102,,,,,,,,
Jayceeoh,103,1,,,,,,,,,,,103,,,,,,,,
Intergalactix,104,1,,,,,,,,,,,104,,,,,,,,
Solidisco,105,1,,,,,,,,,,,105,,,,,,,,
Filabusta,106,1,,,,,,,,,,,106,,,,,,,,
Vindata,107,1,,,,,,,,,,,107,,,,,,,,
Jack Novak,108,1,,,,,,,,,,,108,,,,,,,,
Manila Killa,109,1,,,,,,,,,,,109,,,,,,,,
Cardiknox,110,1,,,,,,,,,,,110,,,,,,,,
Cheerleader,111,1,,,,,,,,,,,111,,,,,,,,
Client Liason,112,1,,,,,,,,,,,112,,,,,,,,
Kill Them With Colour,113,1,,,,,,,,,,,113,,,,,,,,
Styles & Complete,114,1,,,,,,,,,,,114,,,,,,,,
Falls,115,1,,,,,,,,,,,115,,,,,,,,
Kingsize,116,1,,,,,,,,,,,116,,,,,,,,
Fiancé,117,1,,,,,,,,,,,117,,,,,,,,
Cypher Clique,118,1,,,,,,,,,,,118,,,,,,,,
A$AP Ferg,,,,,,,,,,,,,,,18,,,,,,
AG Cook,,,,,,,,,,,,,,,34,,,,,,
Alvaays,,,,,,,,,,,,,,28,,,,,,,
Ariel Pink,,,,,,,,,,,,,,,19,,,,,,
Barr Brothers,,,,,,,,,,,,,,27,,,,,,,
Big KRIT,,,,,,,,,,,,,,14,,,,,,,
Bitchin Bajas,,,,,,,,,,,,,,,41,,,,,,
Broncho,,,,,,,,,,,,,,44,,,,,,,
Bully,,,,,,,,,,,,,,,45,,,,,,
Chance The Rapper,,,,,,,,,,,,,,,2,,,,,,
Cherub,,,,,,,,,,,,,,20,,,,,,,
Chvrches,,,,,,,,,,,,,,,5,,,,,,
Clark,,,,,,,,,,,,,,,26,,,,,,
Diarrhea Planet,,,,,,,,,,,,,,41,,,,,,,
Empires,,,,,,,,,,,,,,42,,,,,,,
Ex Hex,,,,,,,,,,,,,,,20,,,,,,
First Aid Kit,,,,,,,,,,,,,,11,,,,,,,
Fly Golden Eagle,,,,,,,,,,,,,,40,,,,,,,
Future Brown,,,,,,,,,,,,,,,21,,,,,,
Gaslight Anthem,,,,,,,,,,,,,,17,,,,,,,
ILoveMakonnen,,,,,,,,,,,,,,21,15,,,,,,
Jeff The Brotherhood,,,,,,,,,,,,,,35,,,,,,,
Jessica Pratt,,,,,,,,,,,,,,,35,,,,,,
Jimmy Whispers,,,,,,,,,,,,,,,46,,,,,,
Julie Ruin,,,,,,,,,,,,,,,28,,,,,,
King Tuff,,,,,,,,,,,,,,36,,,,,,,
Kurt Vile,,,,,,,,,,,,,,,12,,,,,,
Mourn,,,,,,,,,,,,,,,42,,,,,,
Mr Twin Sister,,,,,,,,,,,,,,,36,,,,,,
Natalie Prass,,,,,,,,,,,,,,,43,,,,,,
New Pornographers,,,,,,,,,,,,,,,6,,,,,,
Noah Gunderson,,,,,,,,,,,,,,37,,,,,,,
Ought,,,,,,,,,,,,,,,24,,,,,,
Over The Rhine,,,,,,,,,,,,,,24,,,,,,,
Parker Millsap,,,,,,,,,,,,,,47,,,,,,,
Portugal The Man,,,,,,,,,,,,,,9,,,,,,,
Protomartyr,,,,,,,,,,,,,,,37,,,,,,
Revivalists,,,,,,,,,,,,,,29,,,,,,,
RL Grime,,,,,,,,,,,,,,10,,,,,,,
Ryley Walker,,,,,,,,,,,,,,,40,,,,,,
Sam Smith,,,,,,,,,,,,,,1,,,,,,,
Shamir,,,,,,,,,,,,,,,33,,,,,,
Shovels & Rope,,,,,,,,,,,,,,13,,,,,,,
Single Mothers,,,,,,,,,,,,,,,44,,,,,,
Sleater-Kinney,,,,,,,,,,,,,,,3,,,,,,
Son Lux,,,,,,,,,,,,,,34,,,,,,,
Sophie,,,,,,,,,,,,,,,32,,,,,,
Steeldrivers,,,,,,,,,,,,,,31,,,,,,,
Tallest Man on Earth,,,,,,,,,,,,,,8,,,,,,,
Tobias Jesso Jr.,,,,,,,,,,,,,,,30,,,,,,
Tweedy,,,,,,,,,,,,,,7,,,,,,,
Twin Limb,,,,,,,,,,,,,,45,,,,,,,
Vince Staples,,,,,,,,,,,,,,,29,,,,,,
Waxahatchee,,,,,,,,,,,,,,,22,,,,,,
White Reaper,,,,,,,,,,,,,,43,,,,,,,
Widespread Panic,,,,,,,,,,,,,,3,,,,,,,
"Word (Medeski, Randolph, etc.)",,,,,,,,,,,,,,15,,,,,,,
